,Lesson(s) Learned,Driving Event Level 1,Driving Event Level 2,Recommendation(s),document IDs for row,number of documents for row
623,maneuver,rover,hill book,valve,[128],1
624,mass spectrometer,productivity,metal oxide semiconductor,thread,[1217],1
625,mass spectrometer,productivity,pfr,flight ground lander challenge axis,[224],1
626,mass spectrometer,productivity,preventive,valve,"[4218, 150]",2
627,mass spectrometer,rover,smap,nozzle,[6036],1
628,mass spectrometer,xenon tank,frequency mode shape,contamination,[562],1
629,mib,orbital replaceable,pyro,assumption make,[1441],1
630,mib,productivity,bag purge,leader,[1085],1
631,military,productivity,demates,environmental,"[1581, 1739]",2
632,military,productivity,radiance,stress analysis,[51],1
633,military,productivity,spacecraft mass property,stress analysis,[299],1
634,minute,productivity,bag purge,assumption make,[1000],1
635,minute,productivity,cleaning,structural integrity,[915],1
636,minute,productivity,demates,assumption make,[8302],1
637,navigation,productivity,demates,assumption make,[641],1
638,navigation,productivity,downlinks,inspection criterion,[2356],1
639,opf bay,brazing,mcbride,assumption make,[8018],1
640,opf bay,brazing,mcbride,lift,[85],1
641,opf bay,productivity,bag purge,assumption make,"[4058, 1183, 745]",3
642,opf bay,productivity,bag purge,hazardous activity,[1732],1
643,opf bay,productivity,bag purge,inspection criterion,[108],1
644,opf bay,productivity,bag purge,propulsion,[965],1
645,opf bay,productivity,bag purge,valve,"[244, 251]",2
646,opf bay,productivity,cleaning,contamination,[1766],1
647,opf bay,productivity,cleaning,horizontal,[1184],1
648,opf bay,productivity,cleaning,traceability,[49],1
649,opf bay,productivity,cleaning,valve,[1534],1
650,opf bay,productivity,concurrent engineering team,emergency stop,[111],1
651,opf bay,productivity,concurrent engineering team,grc,[1334],1
652,opf bay,productivity,demates,grc,[558],1
653,opf bay,productivity,demates,trade,[650],1
654,opf bay,productivity,demates,valve,"[6149, 38]",2
655,opf bay,productivity,disassembly inspection,supervision,[189],1
656,opf bay,productivity,disassembly inspection,valve,[226],1
657,opf bay,productivity,emittance,failure investigation,[467],1
658,opf bay,productivity,emittance,valve,"[1428, 66]",2
659,opf bay,productivity,metal oxide semiconductor,assumption make,[6142],1
660,opf bay,productivity,pfr,assumption make,"[1340, 750]",2
661,opf bay,productivity,pfr,valve,"[591, 26, 34]",3
662,opf bay,productivity,pfr,waste container,[248],1
663,opf bay,productivity,preventive,assumption make,[1117],1
664,opf bay,productivity,radiance,assumption make,[136],1
665,opf bay,productivity,radiance,redundancy,[47],1
666,opf bay,productivity,smooth,valve,[39],1
667,opf bay,productivity,spacecraft mass property,assumption make,[209],1
668,opf bay,rover,error detection correction,fitting,[117],1
669,opf bay,rover,tutorial text spie,assumption make,[5477],1
670,opf bay,xenon tank,fault protection,fitting,[456],1
671,opf bay,xenon tank,fault protection,horizontal,[41],1
672,opf bay,xenon tank,microscope objective,assumption make,[880],1
673,opf bay,xenon tank,microscope objective,flight ground lander challenge axis,[3761],1
674,orbiter processing facility,productivity,bag purge,contamination,[62],1
675,orbiter processing facility,productivity,bag purge,emergency stop,"[174, 64]",2
676,orbiter processing facility,productivity,bag purge,payload bay,[170],1
677,orbiter processing facility,productivity,bag purge,shop,[160],1
678,orbiter processing facility,productivity,bag purge,supervision,[923],1
679,orbiter processing facility,productivity,bag purge,thread,[67],1
680,orbiter processing facility,productivity,metal oxide semiconductor,lift,[576],1
681,orbiter processing facility,productivity,pfr,valve,[184],1
682,orbiter processing facility,xenon tank,fault protection,assumption make,[1796],1
683,orbiter processing facility,xenon tank,fault protection,redundancy,[186],1
684,orbiter processing facility,xenon tank,review formal review,redundancy management,[182],1
685,paper,productivity,bag purge,payload bay,[1200],1
686,paper,productivity,mro,supervision,[458],1
687,paper,xenon tank,fault protection,inspection criterion,[1718],1
688,paper,xenon tank,review formal review,technician quality,[988],1
689,part,brazing,mcbride,interpret,[610],1
690,part,brazing,mcbride,supervision,[465],1
691,part,low pressure vendor tanker,eigenvalue,contamination,[755],1
692,part,low pressure vendor tanker,eigenvalue,environmental,[823],1
693,part,low pressure vendor tanker,eigenvalue,subsystem,[793],1
694,part,orbital replaceable,pyro,contamination,[845],1
695,part,orbital replaceable,pyro,payload bay,[165],1
696,part,orbital replaceable,pyro,trade,[2616],1
697,part,orbital replaceable,pyro,valve,[847],1
698,part,productivity,bag purge,assumption make,"[5057, 818, 649]",3
699,part,productivity,bag purge,bend,[261],1
700,part,productivity,bag purge,contamination,[9],1
701,part,productivity,bag purge,contractor safety,[1186],1
702,part,productivity,bag purge,engineering manufacturing,[930],1
703,part,productivity,bag purge,flight ground lander challenge axis,"[6148, 353]",2
704,part,productivity,bag purge,hardware configuration,[231],1
705,part,productivity,bag purge,inspection criterion,[565],1
706,part,productivity,bag purge,lift,[115],1
707,part,productivity,bag purge,manifest,[656],1
708,part,productivity,bag purge,procedure cover,[33],1
709,part,productivity,bag purge,propulsion,[109],1
710,part,productivity,bag purge,redundancy,[14],1
711,part,productivity,bag purge,subsystem,[646],1
712,part,productivity,bag purge,supervision,[171],1
713,part,productivity,bag purge,supervisor,[3],1
714,part,productivity,bag purge,trade,[762],1
715,part,productivity,bag purge,valve,"[855, 131, 250, 13]",4
716,part,productivity,cleaning,assumption make,[21601],1
717,part,productivity,cleaning,inspection criterion,[18502],1
718,part,productivity,concurrent engineering team,flight ground lander challenge axis,[376],1
719,part,productivity,concurrent engineering team,stress analysis,[1512],1
720,part,productivity,concurrent engineering team,valve,[147],1
721,part,productivity,demates,assumption make,"[1519, 1485, 1108, 358, 279]",5
722,part,productivity,demates,clearing,[10701],1
723,part,productivity,demates,contamination,[206],1
724,part,productivity,demates,environmental,[1713],1
725,part,productivity,demates,extend mission,[343],1
726,part,productivity,demates,flight ground lander challenge axis,"[1480, 423, 259]",3
727,part,productivity,demates,redundancy,[707],1
728,part,productivity,demates,redundancy management,[256],1
729,part,productivity,demates,stress analysis,[1804],1
730,part,productivity,demates,supervision,[25],1
731,part,productivity,disassembly inspection,assumption make,"[1189, 1068, 675, 399]",4
732,part,productivity,disassembly inspection,contamination,[712],1
733,part,productivity,disassembly inspection,inspection criterion,[315],1
734,part,productivity,disassembly inspection,outgassing,[241],1
735,part,productivity,disassembly inspection,propulsion,[962],1
736,part,productivity,disassembly inspection,structural integrity,[22003],1
737,part,productivity,disassembly inspection,subsystem,[728],1
738,part,productivity,disassembly inspection,valve,[990],1
739,part,productivity,downlinks,contamination,"[811, 711]",2
740,part,productivity,downlinks,esd,[760],1
741,part,productivity,downlinks,flight ground lander challenge axis,[671],1
742,part,productivity,emittance,assumption make,"[4618, 1023, 748]",3
743,part,productivity,emittance,extend mission,[1208],1
744,part,productivity,emittance,flight ground lander challenge axis,[640],1
745,part,productivity,hot gas,assumption make,[1012],1
746,part,productivity,hot gas,flight ground lander challenge axis,[5061],1
747,part,productivity,hot gas,inspection criterion,[891],1
748,part,productivity,metal oxide semiconductor,assumption make,[942],1
749,part,productivity,metal oxide semiconductor,failure investigation,[10],1
750,part,productivity,metal oxide semiconductor,manufacture,[1360],1
751,part,productivity,metal oxide semiconductor,subsystem,[726],1
752,part,productivity,pfr,assumption make,"[8017, 6144, 1113, 1040, 734, 686]",6
753,part,productivity,pfr,contamination,[890],1
754,part,productivity,pfr,design manufacturing,[735],1
755,part,productivity,pfr,emergency stop,[151],1
756,part,productivity,pfr,environmental,[683],1
757,part,productivity,pfr,inspection criterion,"[215, 266]",2
758,part,productivity,pfr,nozzle,[674],1
759,part,productivity,pfr,stress analysis,[809],1
760,part,productivity,pfr,valve,[6150],1
761,part,productivity,preventive,design manufacturing,[554],1
762,part,productivity,preventive,inspection criterion,[835],1
763,part,productivity,preventive,restraint,[555],1
764,part,productivity,preventive,valve,[12],1
765,part,productivity,radiance,assumption make,[372],1
766,part,productivity,radiance,flight ground lander challenge axis,[354],1
767,part,productivity,radiance,inspection criterion,[232],1
768,part,productivity,radiance,manifest,[271],1
769,part,productivity,radiance,redundancy,[360],1
770,part,productivity,radiance,supervision,[16],1
771,part,productivity,smooth,redundancy,[879],1
772,part,productivity,smooth,valve,[1430],1
773,part,productivity,spacecraft mass property,computer,[687],1
774,part,productivity,spacecraft mass property,flight ground lander challenge axis,"[922, 810, 356]",3
775,part,productivity,spacecraft mass property,hardware configuration,[716],1
776,part,productivity,spacecraft mass property,redundancy,[679],1
777,part,provide adequate clearance,faraday cage,failure investigation,[846],1
778,part,provide adequate clearance,faraday cage,radiation,[676],1
779,part,provide adequate clearance,faraday cage,redundancy,[27701],1
780,part,rcm,foreign object,inspection criterion,[113],1
781,part,rcm,radiation hardness,computer,[699],1
782,part,rcm,radiation hardness,flight ground lander challenge axis,"[815, 696]",2
783,part,rcm,radiation hardness,radiation,[782],1
784,part,rover,smap,assumption make,"[691, 18]",2
785,part,rover,tutorial text spie,assumption make,"[3260, 1727, 761]",3
786,part,rover,tutorial text spie,flight ground lander challenge axis,"[3297, 342]",2
787,part,rover,tutorial text spie,redundancy,[1760],1
788,part,rover,tutorial text spie,supervision,[20],1
789,part,rover,tutorial text spie,valve,[11],1
790,part,valve,nessus,assumption make,[756],1
791,part,valve,nessus,supervisor,[5756],1
792,part,xenon tank,circuit breaker,altitude,[822],1
793,part,xenon tank,circuit breaker,assumption make,[1212],1
794,part,xenon tank,circuit breaker,manifest,"[25801, 779, 775]",3
795,part,xenon tank,circuit breaker,subsystem,"[894, 787, 652]",3
796,part,xenon tank,circuit breaker,supervision,[1258],1
797,part,xenon tank,emerge,assumption make,[3641],1
798,part,xenon tank,emerge,design manufacturing,"[682, 669]",2
799,part,xenon tank,emerge,trade,[839],1
800,part,xenon tank,fault protection,assumption make,"[1202, 798, 678, 660, 659, 296, 284, 365]",8
801,part,xenon tank,fault protection,contamination,[853],1
802,part,xenon tank,fault protection,environmental,[389],1
803,part,xenon tank,fault protection,failure investigation,[402],1
804,part,xenon tank,fault protection,flight ground lander challenge axis,"[783, 768, 731, 703, 362, 275]",6
805,part,xenon tank,fault protection,leader,[1273],1
806,part,xenon tank,fault protection,radiation,"[771, 603]",2
807,part,xenon tank,fault protection,short circuit,[435],1
808,part,xenon tank,fault protection,stress analysis,[794],1
809,part,xenon tank,fault protection,subsystem,[363],1
810,part,xenon tank,fault protection,supervision,"[1803, 374]",2
811,part,xenon tank,frequency mode shape,assumption make,[758],1
812,part,xenon tank,frequency mode shape,contamination,"[736, 337]",2
813,part,xenon tank,frequency mode shape,inspection criterion,[462],1
814,part,xenon tank,frequency mode shape,radiation,[547],1
815,part,xenon tank,frequency mode shape,subsystem,[662],1
816,part,xenon tank,frequency mode shape,velocity,"[830, 335]",2
817,part,xenon tank,microscope objective,environmental,"[802, 694]",2
818,part,xenon tank,microscope objective,esd,"[1330, 796, 788, 797, 732, 708, 328]",7
819,part,xenon tank,microscope objective,inspection criterion,[132],1
820,part,xenon tank,microscope objective,outgassing,[800],1
821,part,xenon tank,microscope objective,redundancy,[1162],1
822,part,xenon tank,microscope objective,short circuit,[2496],1
823,part,xenon tank,microscope objective,stress analysis,[799],1
824,part,xenon tank,microscope objective,subsystem,"[813, 729, 653]",3
825,part,xenon tank,microscope objective,supervision,[1201],1
826,part,xenon tank,microscope objective,supervisor,[12401],1
827,part,xenon tank,microscope objective,traceability,"[704, 644]",2
828,part,xenon tank,probability occurrence failure,assumption make,[384],1
829,part,xenon tank,probability occurrence failure,radiation,[824],1
830,part,xenon tank,probability occurrence failure,redundancy,[661],1
831,part,xenon tank,processing facility high bay,bend,[23201],1
832,part,xenon tank,processing facility high bay,radiation,[19501],1
833,part,xenon tank,processing facility high bay,short circuit,[1188],1
834,part,xenon tank,review formal review,assumption make,"[4036, 202, 48]",3
835,part,xenon tank,review formal review,failure investigation,[200],1
836,part,xenon tank,review formal review,fire source,[448],1
837,part,xenon tank,solid model simulation,contamination,[698],1
838,part,xenon tank,solid model simulation,redundancy,[870],1
839,part,xenon tank,variable polarity plasma arc,assumption make,[1133],1
840,part,xenon tank,variable polarity plasma arc,flight ground lander challenge axis,[753],1
841,part,xenon tank,variable polarity plasma arc,leader,[514],1
842,part,xenon tank,variable polarity plasma arc,subsystem,[2036],1
843,part,xenon tank,variable polarity plasma arc,thread,[478],1
844,part,xenon tank,variable polarity plasma arc,trade,[751],1
845,part,xenon tank,vibroacoustic qualification,assumption make,"[722, 814, 778, 313, 352]",5
846,part,xenon tank,vibroacoustic qualification,computer,[645],1
847,part,xenon tank,vibroacoustic qualification,connector,[850],1
848,part,xenon tank,vibroacoustic qualification,contamination,[670],1
849,part,xenon tank,vibroacoustic qualification,environmental,"[804, 754]",2
850,part,xenon tank,vibroacoustic qualification,flight ground lander challenge axis,[727],1
851,part,xenon tank,vibroacoustic qualification,radiation,[4176],1
852,part,xenon tank,vibroacoustic qualification,trade,[821],1
853,primary cause incident,productivity,demates,assumption make,[1254],1
854,primary cause incident,productivity,radiance,assumption make,[24403],1
855,primary cause incident,rover,hill book,assumption make,[1090],1
856,primary cause incident,xenon tank,vibroacoustic qualification,supervision,[1157],1
857,prior final,low pressure vendor tanker,eigenvalue,supervision,[1209],1
858,prior final,orbital replaceable,mishap,supervision,[516],1
859,prior final,orbital replaceable,pyro,supervisor,[324],1
860,prior final,productivity,bag purge,coverage,[1364],1
861,prior final,productivity,bag purge,lift,[1996],1
862,prior final,productivity,bag purge,supervision,"[5877, 1032]",2
863,prior final,productivity,demates,assumption make,[274],1
864,prior final,productivity,downlinks,assumption make,[18901],1
865,prior final,productivity,metal oxide semiconductor,supervision,[1725],1
866,prior final,productivity,metal oxide semiconductor,terrain,[255],1
867,prior final,productivity,mro,waste container,[1259],1
868,prior final,productivity,spacecraft mass property,environmental,[16901],1
869,prior final,rover,error detection correction,subsystem,[1018],1
870,prior final,rover,tutorial text spie,flight ground lander challenge axis,[6],1
871,prior final,xenon tank,emerge,hardware configuration,[443],1
872,production lot,xenon tank,fault protection,traceability,[982],1
873,radiation,productivity,emittance,clearing,"[1687, 639]",2
874,radiation,xenon tank,probability occurrence failure,radiation,[792],1
875,realistic,productivity,metal oxide semiconductor,assumption make,[2816],1
876,realistic,rover,smap,shop,[614],1
877,reverse bias,rover,hill book,inspection criterion,[3697],1
878,reverse bias,rover,smap,assumption make,[80],1
879,reverse bias,xenon tank,fault protection,stress analysis,[981],1
880,smoke,orbital replaceable,mishap,short circuit,[9501],1
881,smoke,productivity,bag purge,contractor safety,[5456],1
882,smoke,productivity,bag purge,procedure cover,[1369],1
883,smoke,productivity,radiance,contractor safety,[5437],1
884,software image,productivity,disassembly inspection,flight ground lander challenge axis,[895],1
885,software image,xenon tank,circuit breaker,assumption make,[18803],1
886,spacecraft status,productivity,demates,assumption make,"[11201, 400]",2
887,spacecraft status,productivity,demates,extend mission,"[1521, 1415, 405]",3
888,spacecraft status,productivity,demates,flight ground lander challenge axis,"[8402, 345]",2
889,spacecraft status,productivity,demates,manifest,[307],1
890,spacecraft status,productivity,demates,redundancy,"[772, 409]",2
891,spacecraft status,productivity,hot gas,extend mission,[5188],1
892,spacecraft status,productivity,preventive,flight ground lander challenge axis,[1307],1
893,spacecraft status,xenon tank,fault protection,assumption make,"[1531, 432]",2
894,spacecraft status,xenon tank,fault protection,flight ground lander challenge axis,[367],1
895,spacecraft status,xenon tank,fault protection,trade,[276],1
896,spacecraft status,xenon tank,microscope objective,environmental,[777],1
897,spacecraft status,xenon tank,review formal review,assumption make,[1148],1
898,sting deflect downward deflection decrease angle attack,productivity,demates,assumption make,"[1266, 1261]",2
899,sting deflect downward deflection decrease angle attack,productivity,demates,emergency stop,[1265],1
900,sting deflect downward deflection decrease angle attack,productivity,demates,interpret,[1263],1
901,sting deflect downward deflection decrease angle attack,xenon tank,review formal review,valve,[89],1
902,table,productivity,disassembly inspection,thread,[663],1
903,table,productivity,smooth,assumption make,[20201],1
904,table,xenon tank,fault protection,assumption make,[434],1
905,technician quality,low pressure vendor tanker,eigenvalue,assumption make,[575],1
906,technician quality,rover,tutorial text spie,valve,[3557],1
907,transmitter,productivity,bag purge,short circuit,[1609],1
908,transmitter,productivity,disassembly inspection,assumption make,[1267],1
909,transmitter,xenon tank,fault protection,flight ground lander challenge axis,[1533],1
910,transmitter,xenon tank,fault protection,redundancy management,[415],1
911,transmitter,xenon tank,fault protection,structural integrity,[1878],1
912,transmitter,xenon tank,variable polarity plasma arc,nozzle,[715],1
913,unintended,productivity,disassembly inspection,thread,[1426],1
914,unintended,xenon tank,fault protection,design manufacturing,[460],1
915,use vendor,application reliability prefer,corrective action system,contractor safety,[83],1
916,use vendor,productivity,downlinks,contamination,[526],1
917,use vendor,productivity,downlinks,flight ground lander challenge axis,[702],1
918,use vendor,provide adequate clearance,faraday cage,failure investigation,[520],1
919,use vendor,rover,smap,flight ground lander challenge axis,[628],1
920,use vendor,xenon tank,fault protection,emergency stop,[1226],1
921,valve open,brazing,mcbride,hazardous activity,[1069],1
922,valve open,productivity,bag purge,contamination,[103],1
923,valve open,productivity,bag purge,flight ground lander challenge axis,[158],1
924,valve open,productivity,bag purge,valve,"[3221, 163, 156, 98, 56, 23, 237]",7
925,valve open,productivity,cleaning,supervision,[1622],1
926,valve open,productivity,demates,supervision,[94],1
927,valve open,productivity,demates,valve,"[4477, 102]",2
928,valve open,productivity,disassembly inspection,emergency stop,[55],1
929,valve open,productivity,disassembly inspection,flight ground lander challenge axis,[72],1
930,valve open,productivity,emittance,valve,[298],1
931,valve open,productivity,hot gas,assumption make,[264],1
932,valve open,productivity,metal oxide semiconductor,failure investigation,[517],1
933,valve open,productivity,metal oxide semiconductor,supervision,[454],1
934,valve open,productivity,mro,supervisor,[8016],1
935,valve open,productivity,pfr,environmental,[752],1
936,valve open,productivity,pfr,radiation,[217],1
937,valve open,productivity,pfr,valve,[4476],1
938,valve open,productivity,radiance,valve,[148],1
939,valve open,productivity,spacecraft mass property,supervisor,[162],1
940,valve open,productivity,spacecraft mass property,valve,[571],1
941,valve open,xenon tank,probability occurrence failure,shop,[322],1
942,valve open,xenon tank,review formal review,structural integrity,[330],1
943,valve open,xenon tank,vibroacoustic qualification,redundancy,[172],1
944,vapor pressure,productivity,bag purge,assumption make,[1100],1
945,vapor pressure,productivity,bag purge,contractor safety,[2056],1
946,vapor pressure,productivity,radiance,contamination,[518],1
947,waiver,productivity,demates,extend mission,[369],1
948,wear,productivity,bag purge,contamination,[43],1
949,wear,productivity,demates,thread,[22],1
950,wear,productivity,spacecraft mass property,fitting,[154],1
951,wear,provide adequate clearance,faraday cage,contamination,[439],1
952,wear,xenon tank,frequency mode shape,connector,[444],1
953,wear,xenon tank,microscope objective,esd,[773],1
954,wear,xenon tank,probability occurrence failure,assumption make,[269],1
955,winch,productivity,bag purge,assumption make,[1143],1
956,winch,productivity,bag purge,redundancy,[589],1
957,winch,xenon tank,fault protection,flight ground lander challenge axis,[1530],1