,Topic,Count,Name,coherence,,,
0,-1,3191,-1_design_test_flight_failure,coherence,,,
1,0,320,0_requirements_program_review_project,0.808712746,,AVERAGE,0.515736259
2,1,211,1_cable_connectors_wire_electrical,0.925684838,,,
3,2,174,2_rf_antenna_corona_test,0.855135543,,,
4,3,143,3_test_review_hardware_pf,0.816618041,,,
5,4,134,4_project_projects_management_pm,0.707895125,,,
6,5,114,5_jpl_principles_paragraph_supporting paragraph,0.488490509,,,
7,6,87,6_spacecraft_mars_attitude_fault,0.702866837,,,
8,7,87,7_safety_hazards_work_equipment,0.718918065,,,
9,8,86,8_thermal_temperature_solder_test,0.846947814,,,
10,9,77,9_software_flight software_flight_development,0.612715084,,,
11,10,67,10_investigation_caib_accident investigation_submissions,0.455357466,,,
12,11,65,11_crane_lifting_rudder_lift,0.771644169,,,
13,12,65,12_practice used_practice_practice used space_used,0.286871133,,,
14,13,65,13_practice used_voyager_galileo_practice,0.281149864,,,
15,14,60,14_risk_risk management_risks_management,0.568029989,,,
16,15,59,15_redundancy_reliability_temperature_high,0.72279881,,,
17,16,56,16_esd_electrostatic_discharge_charging,0.561484142,,,
18,17,55,17_uav_pilot_gear_landing,0.656438004,,,
19,18,54,18_water_emergency_building_jpl,0.839458963,,,
20,19,53,19_pressure_valve_pressure systems_vacuum,0.362050628,,,
21,20,53,20_tunnel_wind tunnel_torque_wind,0.629343101,,,
22,21,52,21_leak_gas_n2o4_leak checks,0.532608094,,,
23,22,51,22_jpl_paragraph_quotflight_jpl referenced,0.407081807,,,
24,23,51,23_vibration_test_acoustic_random,0.711735555,,,
25,24,50,24_battery_batteries_cell_cells,0.767305918,,,
26,25,50,25_oring_joint_ring_insulation,0.772844778,,,
27,26,50,26_iss_software_international_lessons,0.154074333,,,
28,27,49,27_pyro_pyrotechnic_pyro electronics_firing,0.530490355,,,
29,28,49,28_optical_image_mirror_star,0.690188833,,,
30,29,48,29_firmware_project_navigation_gps,0.819509381,,,
31,30,48,30_blankets_gpc_cooling_amdahl,0.529674698,,,
32,31,47,31_dawn_dsn_mission_science,0.813735403,,,
33,32,46,32_tbd_tbd nasa response_tbd nasa_nasa response,0.199306296,,,
34,33,45,33_aft_platform_platforms_omi,0.508140425,,,
35,34,43,34_seal_propellant_ptfe_hydrazine,0.848997005,,,
37,35,40,35_engine_turbine_turbopump_liquid,0.718857522,,,
36,36,40,36_workforce_training_nasa_employees,0.882037853,,,
38,37,39,37_security flight_protection security flight_protection security_security flight hardware,0.480019588,,,
39,38,37,38_human_human factors_factors_human factors engineering,0.272664229,,,
40,39,36,39_eva_extravehicular_eva project_hydrolab,0.463474099,,,
41,40,34,40_steam_cpp_line_pipe,0.66362327,,,
42,41,34,41_ladder_employee_p1_worker,0.819707109,,,
43,42,33,42_security_computer security_computer_administrators,0.463256455,,,
44,43,33,43_crv_x38_iss_crew,0.425338306,,,
45,44,33,44_weld_welding_welds_arc,0.715806898,,,
46,45,33,45_locking_loctite_load cell_llcs,0.388314947,,,
47,46,32,46_radiation_antenna_smap_deployment,0.608796665,,,
48,47,31,47_cots_design_requirements_operations,0.679041242,,,
49,48,31,48_inherited_review_inheritance_reviews,0.706716139,,,
50,49,31,49_space shuttle_shuttle_practice used_solid rocket,0.297558478,,,
51,50,30,50_aviation_aviation safety_nesc_safety,0.455009003,,,
52,51,30,51_fasteners_fastener_oaa_hydraulic,0.35982328,,,
53,52,30,52_radiation_exposure_rem_radiation exposure,0.555232789,,,
55,53,29,53_evm_project_evm capability_management,0.311672503,,,
54,54,29,54_learned_lessons_lessons learned_project,0.531379507,,,
56,55,28,55_osp_space plane osp_plane osp_orbital space plane,0.165980116,,,
57,56,28,56_qd_gucp_guca_fuel,0.567251976,,,
58,57,28,57_composite_material_materials_composites,0.824954092,,,
59,58,28,58_magnetic_field_magnetic field_dipole,0.758610859,,,
60,59,27,59_shipping_packaging_ldc_holding fixtures,0.422723702,,,
61,60,27,60_upgrades_avionics_upgrade_shuttle,0.550984478,,,
62,61,27,61_parts_network_nonstandard_master,0.400464593,,,
63,62,27,62_vehicle_natural environment_natural_changes,0.269258712,,,
64,63,26,63_practices_laboratory standard flight_standard flight project_standard flight,0.248787694,,,
65,64,26,64_lubricant_grease_bearing_cleanroom,0.555984524,,,
66,65,26,65_voyager_receiver_spacecraft_failure,0.600430697,,,
67,66,25,66_block ii_109_ssme_block,0.531818923,,,
68,67,24,67_vent_prsd_hydrogen_t0,0.50726462,,,
69,68,24,68_valve_gn2_port_purge,0.479280062,,,
70,69,24,69_tether_rotator_orbiter_reel,0.508582674,,,
72,72,23,72_power_rapidscat_emc_impedance,0.773846428,,,
73,70,23,70_spc_nasa_program_downsizing,0.435494033,,,
71,71,23,71_learned lessons learned_learned lessons_lessons learned lessons_lessons learned,0.63639301,,,
75,73,22,73_lessons learned lessons_learned lessons learned_learned lessons_lessons learned,0.672670926,,,
74,74,22,74_practices materials_practices materials processes_materials processes contamination_processes contamination,0.35980748,,,
79,81,21,81_sneak_radiation_rdm_sneak circuit,0.415663332,,,
81,76,21,76_reaction_rwa_reaction wheels_wheels,0.614315996,,,
80,77,21,77_vtmt_voltage_power_power subsystem,0.521182468,,,
82,75,21,75_heritage hardware_heritage_heritage hardware software_calibrations,0.373968054,,,
78,79,21,79_assurance practices_mission assurance practices_practices_mission assurance,0.274475733,,,
77,80,21,80_tanker_vent line_vent_line,0.445511414,,,
76,78,21,78_cost_cost estimates_estimates_costs,0.429743882,,,
83,82,20,82_stress_analysis_cares_structural,0.815117201,,,
84,83,20,83_recommendations_quotrecommendationsquot_recommendations recommendations_cannibalization trends,0.77748319,,,
85,84,20,84_heat_toxic_loop_bubbles,0.749674955,,,
86,85,20,85_msl_wheel_rover_gravity,0.618761779,,,
87,86,20,86_close_close calls_calls_reporting,0.530522948,,,
88,87,20,87_attached_report attached_attached report_attached report attached,0.865994283,,,
91,88,19,88_glass_coating_aluminum_type ii,0.111803754,,,
92,89,19,89_project_publications_aatt_reviews,0.349158491,,,
89,90,19,90_construction_safety_safety inspection_contractor,0.477049714,,,
90,91,19,91_pump_pumps_oil_ion,0.646347597,,,
93,92,18,92_clcs_clcs project_ksc_shuttle,0.296298203,,,
94,93,18,93_fault_fault protection_protection_response,0.315773968,,,
95,94,18,94_website_customers_web_project,0.47453152,,,
96,95,18,95_test_item_gse_test item,0.33328786,,,
97,96,17,96_maintainability_maintenance_program_maintainability program,0.50992599,,,
98,97,17,97_restoration_linereplaceable_overhaul_restoration upgrading,0.191572396,,,
99,98,17,98_practices_standard flight project_laboratory standard flight_standard flight,0.464775398,,,
105,109,16,109_pending_pending pending_unavailable_pending pending pending,0.122800976,,,
109,102,16,102_ipa_waste_rinse_container,0.945638527,,,
108,99,16,99_rsrm_motors_successfully_successful,0.523892002,,,
107,100,16,100_edl_mer_phoenix_mars,0.439469422,,,
106,103,16,103_command_file_uplink_command file,0.300216435,,,
110,101,16,101_naoms_survey_data_release,0.882841,,,
104,105,16,105_mdm_upgrade_spst_computer,0.544384587,,,
101,108,16,108_sofia_flight operations_sofia program_arc,0.44871369,,,
100,104,16,104_security_persistence_server_management,0.363387759,,,
103,106,16,106_maintenance_availability_preventive maintenance_preventive,0.511292178,,,
102,107,16,107_logistics_flight units_units_usa safer,0.979754089,,,
111,110,15,110_hazard_procedures_clearly identify_operating procedures,0.235017728,,,
112,111,15,111_challenger_joint_casetonozzle_quotoquotring,0.184975418,,,
113,112,14,112_battery_ups_batteries_ups1,0.856658408,,,
114,113,14,113_grumman_design_apollo_lunar,0.426134498,,,
116,116,14,116_cw_caution warning_warning_caution,0.112827793,,,
117,117,14,117_instrumentation_sds_design_phase,0.753936834,,,
118,118,14,118_lro_twta_traveling wave tube_traveling wave,0.103566903,,,
119,119,14,119_life test_life_life testing_small angles,0.456597774,,,
120,114,14,114_gaps_data_nasda_100,0.325688844,,,
115,115,14,115_sting_cowl_aerodynamic_loads,0.23654382,,,
125,125,13,125_scripts_flight scripts_software_flight,0.430723228,,,
129,122,13,122_parts_reliability_eee_class,0.364691854,,,
128,120,13,120_x34_aircraft_x31_experimental,0.605336279,,,
127,121,13,121_project_aatt_wbs_aatt project,0.773267079,,,
126,123,13,123_hatch_actuator_gear_sts80,0.233972817,,,
124,126,13,126_attached document_attached document attached_document attached document_document attached,0.465406459,,,
122,128,13,128_sma_industry_sma requirements_space flight,0.901768086,,,
121,124,13,124_telescope_space telescope_hubble space telescope_hubble space,0.282697439,,,
123,127,13,127_fsm_rsrm_static test_static,0.315139048,,,
133,135,12,135_nesc_nasa_technical_nasa approach,0.32104726,,,
135,130,12,130_actuator_actuator redesigned_redesigned_torque,0.264786721,,,
134,131,12,131_people_know_dont_manager,0.699664653,,,
136,129,12,129_ice_tps_launch_ascent,0.36937784,,,
132,133,12,133_nglt_programs_program_integration,0.54334776,,,
131,134,12,134_nitrogen_cryolab_oxygen_test team,0.374042423,,,
130,132,12,132_accident investigation_investigation_accident_public hearings,0.237948187,,,
137,136,11,136_close_nasa_risk management tool_coordinators,0.417356138,,,
138,137,11,137_acoustic emission_environmental_testbed_jpl mishap report,0.326720444,,,
139,138,11,138_anomaly_telemetry_mcam_safe mode,0.407464463,,,
140,139,11,139_security flight hardwarequot_quotengineering practices protection_flight hardwarequot_hardwarequot,0.500952919,,,
141,140,11,140_mh_workers_ag_mh workers,0.300693697,,,
142,141,11,141_filters_contamination_museum_nitrogen,0.597564074,,,
143,142,10,142_opf_deluge_bay_water,0.280601961,,,
144,143,10,143_meit_regression_automated_emulators,0.31813658,,,
145,144,10,144_astronaut_mtv_thermal_strap,0.454413106,,,
146,145,10,145_fixture_lifting_tv_stability,0.179871272,,,